date,hour,systemMarginalPrice
2026-03-14T00:00:00+03:00,2026-03-14T00:00:00+03:00,3399.6
2026-03-14T01:00:00+03:00,2026-03-14T01:00:00+03:00,3399.22
2026-03-14T02:00:00+03:00,2026-03-14T02:00:00+03:00,3399.21
2026-03-14T03:00:00+03:00,2026-03-14T03:00:00+03:00,3000.0
2026-03-14T04:00:00+03:00,2026-03-14T04:00:00+03:00,3300.0
2026-03-14T05:00:00+03:00,2026-03-14T05:00:00+03:00,3300.0
2026-03-14T06:00:00+03:00,2026-03-14T06:00:00+03:00,1490.0
2026-03-14T07:00:00+03:00,2026-03-14T07:00:00+03:00,699.99
2026-03-14T08:00:00+03:00,2026-03-14T08:00:00+03:00,3399.21
2026-03-14T09:00:00+03:00,2026-03-14T09:00:00+03:00,3399.23
2026-03-14T10:00:00+03:00,2026-03-14T10:00:00+03:00,3399.23
2026-03-14T11:00:00+03:00,2026-03-14T11:00:00+03:00,3399.23
2026-03-14T12:00:00+03:00,2026-03-14T12:00:00+03:00,3399.22
2026-03-14T13:00:00+03:00,2026-03-14T13:00:00+03:00,3399.24
2026-03-14T14:00:00+03:00,2026-03-14T14:00:00+03:00,3399.28
2026-03-14T15:00:00+03:00,2026-03-14T15:00:00+03:00,3399.27
2026-03-14T16:00:00+03:00,2026-03-14T16:00:00+03:00,3399.32
2026-03-14T17:00:00+03:00,2026-03-14T17:00:00+03:00,3399.4
2026-03-14T18:00:00+03:00,2026-03-14T18:00:00+03:00,3399.92
2026-03-14T19:00:00+03:00,2026-03-14T19:00:00+03:00,2257.0
2026-03-14T20:00:00+03:00,2026-03-14T20:00:00+03:00,3399.41
2026-03-14T21:00:00+03:00,2026-03-14T21:00:00+03:00,2257.0
2026-03-14T22:00:00+03:00,2026-03-14T22:00:00+03:00,2257.0
2026-03-14T23:00:00+03:00,2026-03-14T23:00:00+03:00,1001.0
2026-03-15T00:00:00+03:00,2026-03-15T00:00:00+03:00,3089.0
