date,time,ptf,smf,positiveImbalance,negativeImbalance,systemStatus
2026-03-14T00:00:00+03:00,2026-03-14T00:00:00+03:00,2999.93,3399.6,2909.9321,3603.576,Enerji Açığı
2026-03-14T01:00:00+03:00,2026-03-14T01:00:00+03:00,2894.0,3399.22,2807.18,3603.1732,Enerji Açığı
2026-03-14T02:00:00+03:00,2026-03-14T02:00:00+03:00,2789.7,3399.21,2706.009,3603.1626,Enerji Açığı
2026-03-14T03:00:00+03:00,2026-03-14T03:00:00+03:00,2456.0,3000.0,2382.32,3180.0,Enerji Açığı
2026-03-14T04:00:00+03:00,2026-03-14T04:00:00+03:00,3090.0,3300.0,2997.3,3498.0,Enerji Açığı
2026-03-14T05:00:00+03:00,2026-03-14T05:00:00+03:00,3213.0,3300.0,3116.61,3498.0,Enerji Açığı
2026-03-14T06:00:00+03:00,2026-03-14T06:00:00+03:00,2989.99,1490.0,1400.6,3079.6897,Enerji Fazlası
2026-03-14T07:00:00+03:00,2026-03-14T07:00:00+03:00,2136.88,699.99,657.9906,2200.9864,Enerji Fazlası
2026-03-14T08:00:00+03:00,2026-03-14T08:00:00+03:00,1750.0,3399.21,1697.5,3603.1626,Enerji Açığı
2026-03-14T09:00:00+03:00,2026-03-14T09:00:00+03:00,2347.7,3399.23,2277.269,3603.1838,Enerji Açığı
2026-03-14T10:00:00+03:00,2026-03-14T10:00:00+03:00,1670.0,3399.23,1619.9,3603.1838,Enerji Açığı
2026-03-14T11:00:00+03:00,2026-03-14T11:00:00+03:00,1500.0,3399.23,1455.0,3603.1838,Enerji Açığı
2026-03-14T12:00:00+03:00,2026-03-14T12:00:00+03:00,1201.01,3399.22,1164.9797,3603.1732,Enerji Açığı
2026-03-14T13:00:00+03:00,2026-03-14T13:00:00+03:00,1429.01,3399.24,1386.1397,3603.1944,Enerji Açığı
2026-03-14T14:00:00+03:00,2026-03-14T14:00:00+03:00,2300.01,3399.28,2231.0097,3603.2368,Enerji Açığı
2026-03-14T15:00:00+03:00,2026-03-14T15:00:00+03:00,2197.99,3399.27,2132.0503,3603.2262,Enerji Açığı
2026-03-14T16:00:00+03:00,2026-03-14T16:00:00+03:00,2300.0,3399.32,2231.0,3603.2792,Enerji Açığı
2026-03-14T17:00:00+03:00,2026-03-14T17:00:00+03:00,2989.98,3399.4,2900.2806,3603.364,Enerji Açığı
2026-03-14T18:00:00+03:00,2026-03-14T18:00:00+03:00,2989.98,3399.92,2900.2806,3603.9152,Enerji Açığı
2026-03-14T19:00:00+03:00,2026-03-14T19:00:00+03:00,3199.47,2257.0,2121.58,3295.4541,Enerji Fazlası
2026-03-14T20:00:00+03:00,2026-03-14T20:00:00+03:00,3300.0,3399.41,3201.0,3603.3746,Enerji Açığı
2026-03-14T21:00:00+03:00,2026-03-14T21:00:00+03:00,2900.01,2257.0,2121.58,2987.0103,Enerji Fazlası
2026-03-14T22:00:00+03:00,2026-03-14T22:00:00+03:00,3009.56,2257.0,2121.58,3099.8468,Enerji Fazlası
2026-03-14T23:00:00+03:00,2026-03-14T23:00:00+03:00,2907.11,1001.0,940.94,2994.3233,Enerji Fazlası
2026-03-15T00:00:00+03:00,2026-03-15T00:00:00+03:00,2800.0,3089.0,2716.0,3274.34,Enerji Açığı
2026-03-15T01:00:00+03:00,2026-03-15T01:00:00+03:00,2399.99,3388.0,2327.9903,3591.28,Enerji Açığı
2026-03-15T02:00:00+03:00,2026-03-15T02:00:00+03:00,1500.0,1500.0,1455.0,1590.0,Enerji Açığı
2026-03-15T03:00:00+03:00,2026-03-15T03:00:00+03:00,1300.0,2271.0,1261.0,2407.26,Enerji Açığı
2026-03-15T04:00:00+03:00,2026-03-15T04:00:00+03:00,1709.2,2271.0,1657.924,2407.26,Enerji Açığı
2026-03-15T05:00:00+03:00,2026-03-15T05:00:00+03:00,1743.99,1743.99,1639.3506,1796.3097,Enerji Fazlası
2026-03-15T06:00:00+03:00,2026-03-15T06:00:00+03:00,1900.0,799.99,751.9906,1957.0,Enerji Fazlası
2026-03-15T07:00:00+03:00,2026-03-15T07:00:00+03:00,1590.0,500.0,470.0,1637.7,Enerji Fazlası
2026-03-15T08:00:00+03:00,2026-03-15T08:00:00+03:00,1600.0,5.0,-106.0,1648.0,Enerji Fazlası
2026-03-15T09:00:00+03:00,2026-03-15T09:00:00+03:00,1600.01,500.0,470.0,1648.0103,Enerji Fazlası
2026-03-15T10:00:00+03:00,2026-03-15T10:00:00+03:00,1201.0,650.0,611.0,1237.03,Enerji Fazlası
2026-03-15T11:00:00+03:00,2026-03-15T11:00:00+03:00,999.99,650.0,611.0,1029.9897,Enerji Fazlası
2026-03-15T12:00:00+03:00,2026-03-15T12:00:00+03:00,1000.01,650.0,611.0,1030.0103,Enerji Fazlası
2026-03-15T13:00:00+03:00,2026-03-15T13:00:00+03:00,1300.0,2082.0,1261.0,2206.92,Enerji Açığı
2026-03-15T14:00:00+03:00,2026-03-15T14:00:00+03:00,1743.99,3100.0,1691.6703,3286.0,Enerji Açığı
2026-03-15T15:00:00+03:00,2026-03-15T15:00:00+03:00,1554.1,2500.0,1507.477,2650.0,Enerji Açığı
2026-03-15T16:00:00+03:00,2026-03-15T16:00:00+03:00,1244.0,2500.0,1206.68,2650.0,Enerji Açığı
2026-03-15T17:00:00+03:00,2026-03-15T17:00:00+03:00,1744.01,1744.01,1639.3694,1796.3303,Enerji Fazlası
2026-03-15T18:00:00+03:00,2026-03-15T18:00:00+03:00,2468.54,1001.0,940.94,2542.5962,Enerji Fazlası
2026-03-15T19:00:00+03:00,2026-03-15T19:00:00+03:00,3199.48,800.0,752.0,3295.4644,Enerji Fazlası
2026-03-15T20:00:00+03:00,2026-03-15T20:00:00+03:00,3400.0,799.99,751.9906,3677.1,Enerji Fazlası
2026-03-15T21:00:00+03:00,2026-03-15T21:00:00+03:00,2946.0,400.0,376.0,3034.38,Enerji Fazlası
2026-03-15T22:00:00+03:00,2026-03-15T22:00:00+03:00,2500.0,400.0,376.0,2575.0,Enerji Fazlası
2026-03-15T23:00:00+03:00,2026-03-15T23:00:00+03:00,1749.99,800.0,752.0,1802.4897,Enerji Fazlası
2026-03-16T00:00:00+03:00,2026-03-16T00:00:00+03:00,1744.01,3000.0,1691.6897,3180.0,Enerji Açığı
2026-03-16T01:00:00+03:00,2026-03-16T01:00:00+03:00,1719.09,1719.09,1667.5173,1822.2354,Enerji Açığı
2026-03-16T02:00:00+03:00,2026-03-16T02:00:00+03:00,1498.01,1715.0,1453.0697,1817.9,Enerji Açığı
2026-03-16T03:00:00+03:00,2026-03-16T03:00:00+03:00,1418.0,1418.0,1375.46,1460.54,Dengede
2026-03-16T04:00:00+03:00,2026-03-16T04:00:00+03:00,1744.0,1744.0,1691.68,1796.32,Dengede
2026-03-16T05:00:00+03:00,2026-03-16T05:00:00+03:00,1744.0,1744.0,1691.68,1796.32,Dengede
2026-03-16T06:00:00+03:00,2026-03-16T06:00:00+03:00,1744.0,1744.0,1639.36,1796.32,Enerji Fazlası
2026-03-16T07:00:00+03:00,2026-03-16T07:00:00+03:00,2400.0,750.0,705.0,2472.0,Enerji Fazlası
2026-03-16T08:00:00+03:00,2026-03-16T08:00:00+03:00,3400.0,3400.0,3298.0,3784.2,Enerji Açığı
2026-03-16T09:00:00+03:00,2026-03-16T09:00:00+03:00,3400.0,3400.0,3298.0,3784.2,Enerji Açığı
2026-03-16T10:00:00+03:00,2026-03-16T10:00:00+03:00,3400.0,3400.0,3298.0,3784.2,Enerji Açığı
2026-03-16T11:00:00+03:00,2026-03-16T11:00:00+03:00,3400.0,3400.0,3298.0,3784.2,Enerji Açığı
2026-03-16T12:00:00+03:00,2026-03-16T12:00:00+03:00,2300.0,1800.0,1692.0,2369.0,Enerji Fazlası
2026-03-16T13:00:00+03:00,2026-03-16T13:00:00+03:00,2797.99,800.0,752.0,2881.9297,Enerji Fazlası
2026-03-16T14:00:00+03:00,2026-03-16T14:00:00+03:00,3219.58,700.0,658.0,3316.1674,Enerji Fazlası
2026-03-16T15:00:00+03:00,2026-03-16T15:00:00+03:00,3200.0,700.0,658.0,3296.0,Enerji Fazlası
2026-03-16T16:00:00+03:00,2026-03-16T16:00:00+03:00,2900.01,400.0,376.0,2987.0103,Enerji Fazlası
2026-03-16T17:00:00+03:00,2026-03-16T17:00:00+03:00,3088.02,800.0,752.0,3180.6606,Enerji Fazlası
2026-03-16T18:00:00+03:00,2026-03-16T18:00:00+03:00,3400.0,2400.0,2256.0,3677.1,Enerji Fazlası
2026-03-16T19:00:00+03:00,2026-03-16T19:00:00+03:00,3400.0,2500.0,2350.0,3677.1,Enerji Fazlası
2026-03-16T20:00:00+03:00,2026-03-16T20:00:00+03:00,3400.0,2500.0,2350.0,3677.1,Enerji Fazlası
2026-03-16T21:00:00+03:00,2026-03-16T21:00:00+03:00,2999.99,2099.99,1973.9906,3089.9897,Enerji Fazlası
2026-03-16T22:00:00+03:00,2026-03-16T22:00:00+03:00,2874.95,2874.95,2788.7015,2961.1985,Dengede
2026-03-16T23:00:00+03:00,2026-03-16T23:00:00+03:00,2200.0,2200.0,2134.0,2266.0,Dengede
2026-03-17T00:00:00+03:00,2026-03-17T00:00:00+03:00,2988.88,2999.0,2899.2136,3178.94,Enerji Açığı
2026-03-17T01:00:00+03:00,2026-03-17T01:00:00+03:00,2900.01,2900.01,2813.0097,3074.0106,Enerji Açığı
2026-03-17T02:00:00+03:00,2026-03-17T02:00:00+03:00,1891.99,993.99,934.3506,1948.7497,Enerji Fazlası
2026-03-17T03:00:00+03:00,2026-03-17T03:00:00+03:00,1743.99,1791.99,1691.6703,1899.5094,Enerji Açığı
2026-03-17T04:00:00+03:00,2026-03-17T04:00:00+03:00,2199.99,2199.99,2133.9903,2265.9897,Dengede
2026-03-17T05:00:00+03:00,2026-03-17T05:00:00+03:00,2200.0,800.0,752.0,2266.0,Enerji Fazlası
2026-03-17T06:00:00+03:00,2026-03-17T06:00:00+03:00,1744.01,800.0,752.0,1796.3303,Enerji Fazlası
2026-03-17T07:00:00+03:00,2026-03-17T07:00:00+03:00,1743.99,5.0,-106.0,1796.3097,Enerji Fazlası
2026-03-17T08:00:00+03:00,2026-03-17T08:00:00+03:00,1891.99,100.0,-106.0,1948.7497,Enerji Fazlası
2026-03-17T09:00:00+03:00,2026-03-17T09:00:00+03:00,1744.01,100.0,-106.0,1796.3303,Enerji Fazlası
2026-03-17T10:00:00+03:00,2026-03-17T10:00:00+03:00,1050.0,5.0,-106.0,1081.5,Enerji Fazlası
2026-03-17T11:00:00+03:00,2026-03-17T11:00:00+03:00,1000.0,0.0,-106.0,1030.0,Enerji Fazlası
2026-03-17T12:00:00+03:00,2026-03-17T12:00:00+03:00,241.41,0.0,-106.0,248.6523,Enerji Fazlası
2026-03-17T13:00:00+03:00,2026-03-17T13:00:00+03:00,300.0,0.0,-106.0,309.0,Enerji Fazlası
2026-03-17T14:00:00+03:00,2026-03-17T14:00:00+03:00,1000.0,0.0,-106.0,1030.0,Enerji Fazlası
2026-03-17T15:00:00+03:00,2026-03-17T15:00:00+03:00,1000.01,800.0,752.0,1030.0103,Enerji Fazlası
2026-03-17T16:00:00+03:00,2026-03-17T16:00:00+03:00,1744.0,744.0,699.36,1796.32,Enerji Fazlası
2026-03-17T17:00:00+03:00,2026-03-17T17:00:00+03:00,2789.7,800.0,752.0,2873.391,Enerji Fazlası
