date,time,quarter1,quarter2,quarter3,quarter4,generation,forecast
2026-03-14T00:00:00+03:00,2026-03-14T00:00:00+03:00,927.37,2035.92,3574.87,4683.41,2130.2,2754.27
2026-03-14T00:10:00+03:00,2026-03-14T00:10:00+03:00,894.68,2001.74,3538.63,4645.7,2100.82,2727.65
2026-03-14T00:20:00+03:00,2026-03-14T00:20:00+03:00,861.98,1967.56,3502.4,4607.98,2037.7,2701.03
2026-03-14T00:30:00+03:00,2026-03-14T00:30:00+03:00,829.28,1933.38,3466.16,4570.26,2038.82,2674.41
2026-03-14T00:40:00+03:00,2026-03-14T00:40:00+03:00,796.58,1899.2,3429.93,4532.55,2022.27,2647.8
2026-03-14T00:50:00+03:00,2026-03-14T00:50:00+03:00,763.88,1865.02,3393.69,4494.83,2003.63,2621.18
2026-03-14T01:00:00+03:00,2026-03-14T01:00:00+03:00,731.19,1830.84,3357.46,4457.11,2024.65,2594.56
2026-03-14T01:10:00+03:00,2026-03-14T01:10:00+03:00,723.3,1822.26,3347.9,4446.86,2049.05,2572.31
2026-03-14T01:20:00+03:00,2026-03-14T01:20:00+03:00,715.41,1813.67,3338.35,4436.61,2093.11,2550.05
2026-03-14T01:30:00+03:00,2026-03-14T01:30:00+03:00,707.52,1805.08,3328.79,4426.36,2177.79,2527.8
2026-03-14T01:40:00+03:00,2026-03-14T01:40:00+03:00,699.63,1796.5,3319.23,4416.1,2279.28,2505.54
2026-03-14T01:50:00+03:00,2026-03-14T01:50:00+03:00,691.74,1787.91,3309.68,4405.85,2268.49,2483.29
2026-03-14T02:00:00+03:00,2026-03-14T02:00:00+03:00,683.85,1779.32,3300.12,4395.6,2247.42,2461.03
2026-03-14T02:10:00+03:00,2026-03-14T02:10:00+03:00,673.28,1768.48,3288.89,4384.08,2230.76,2442.51
2026-03-14T02:20:00+03:00,2026-03-14T02:20:00+03:00,662.72,1757.63,3277.66,4372.57,2209.57,2423.99
2026-03-14T02:30:00+03:00,2026-03-14T02:30:00+03:00,652.15,1746.79,3266.42,4361.06,2186.95,2405.47
2026-03-14T02:40:00+03:00,2026-03-14T02:40:00+03:00,641.59,1735.94,3255.19,4349.55,2143.58,2386.95
2026-03-14T02:50:00+03:00,2026-03-14T02:50:00+03:00,631.02,1725.1,3243.96,4338.03,2127.66,2368.43
2026-03-14T03:00:00+03:00,2026-03-14T03:00:00+03:00,620.46,1714.25,3232.72,4326.52,2135.33,2349.91
2026-03-14T03:10:00+03:00,2026-03-14T03:10:00+03:00,618.75,1708.66,3221.75,4311.66,1984.67,2360.75
2026-03-14T03:20:00+03:00,2026-03-14T03:20:00+03:00,617.03,1703.07,3210.77,4296.8,1901.59,2371.59
2026-03-14T03:30:00+03:00,2026-03-14T03:30:00+03:00,615.32,1697.48,3199.79,4281.95,1905.0,2382.42
2026-03-14T03:40:00+03:00,2026-03-14T03:40:00+03:00,613.61,1691.89,3188.81,4267.09,1902.71,2393.26
2026-03-14T03:50:00+03:00,2026-03-14T03:50:00+03:00,611.9,1686.29,3177.83,4252.23,1929.82,2404.1
2026-03-14T04:00:00+03:00,2026-03-14T04:00:00+03:00,610.19,1680.7,3166.86,4237.37,1905.74,2414.93
2026-03-14T04:10:00+03:00,2026-03-14T04:10:00+03:00,612.84,1684.15,3171.39,4242.7,1945.39,2418.83
2026-03-14T04:20:00+03:00,2026-03-14T04:20:00+03:00,615.5,1687.59,3175.93,4248.02,1952.84,2422.72
2026-03-14T04:30:00+03:00,2026-03-14T04:30:00+03:00,618.15,1691.03,3180.47,4253.35,1942.11,2426.62
2026-03-14T04:40:00+03:00,2026-03-14T04:40:00+03:00,620.8,1694.47,3185.01,4258.68,1955.51,2430.51
2026-03-14T04:50:00+03:00,2026-03-14T04:50:00+03:00,623.46,1697.92,3189.54,4264.0,1981.78,2434.41
